,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
1850,Bronx,Westchester,02 TWO FAMILY DWELLINGS                    ,1,3822,29,B1,2248 NEWBOLD AVENUE,10462,2,0,2,2472,2660,1940,1,B1,240000,40.83357968,-73.84951724,-2.942190784727475,-0.06695800595552424,0
1433,Bronx,Morrisania/Longwood,07 RENTALS - WALKUP APARTMENTS             ,2B,2394,29,C4,1215 BROOK AVENUE,10456,8,0,8,2400,6400,1931,2,C4,1260000,40.83157278,-73.90903928,3.9413684465640255,-1.7898248177145415,3
568,Manhattan,Soho,22 STORE BUILDINGS                         ,4,482,28,K4,216 LAFAYETTE STREET,10012,0,2,2,2500,4000,1900,4,K4,8400000,40.72180824,-73.99757655,-2.7933204510589755,3.9619442938738856,4
3497,Brooklyn,Canarsie,02 TWO FAMILY DWELLINGS                    ,1,8086,8,B9,1475 EAST 89TH STREET,11236,2,0,2,2133,2898,1960,1,B9,10,40.63018872,-73.89609103,-3.0662834043696283,-0.333653122591799,2
3884,Brooklyn,Crown Heights,03 THREE FAMILY DWELLINGS                  ,1,1370,26,C0,1196 PARK PLACE,11213,3,0,3,2427,2922,1901,1,C0,694650,40.67272454,-73.93796153,-1.8507099772068631,-0.4397523987866311,3
2797,Brooklyn,Boerum Hill,02 TWO FAMILY DWELLINGS                    ,1,185,3,B3,87 NEVINS STREET,11217,2,0,2,1500,2720,1899,1,B3,2300000,40.68581729,-73.98279495,-2.8690870211609103,-0.2752105553906636,8
1778,Bronx,Throgs Neck,01 ONE FAMILY DWELLINGS                    ,1,5595,14,A5,250 BALCOM,10465,1,0,1,1800,1998,1960,1,A5,500000,40.8154135,-73.82242495,-4.2354639274478885,-0.21618355798950276,6
2324,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1785,62,S2,675 LAFAYETTE AVENUE,11216,2,1,3,1917,3489,1899,1,S2,10,40.69040041,-73.94697476,-2.719994125385403,-0.30883705091206504,8
2181,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1593,48,B3,421 HART STREET,11221,2,0,2,2000,2160,1899,1,B3,1350000,40.69497241,-73.93326407,-3.0148205946286337,-0.31508279184697224,9
4845,Brooklyn,Gowanus,03 THREE FAMILY DWELLINGS                  ,1,992,47,C0,249 7TH STREET,11215,3,0,3,1933,2625,1899,1,C0,2400000,40.67190479,-73.98841145,-1.7811643769230032,-0.4306125346138867,4
6437,Queens,East Elmhurst,02 TWO FAMILY DWELLINGS                    ,1,1702,30,B2,32-06 108TH   STREET,11369,2,0,2,1700,2226,2001,1,B2,800000,40.75974861,-73.86140749,-3.216521080656254,-0.6214972837336414,9
3408,Brooklyn,Bushwick,07 RENTALS - WALKUP APARTMENTS             ,2A,3269,40,C2,257 HIMROD STREET,11237,6,0,6,2500,4500,1931,2,C2,1400000,40.700975799999995,-73.9190036,1.5699301977178373,-1.2111984963771742,0
2994,Brooklyn,Borough Park,03 THREE FAMILY DWELLINGS                  ,1,5657,29,C0,1458 51ST STREET,11219,3,0,3,4007,6300,1970,1,C0,900000,40.63166109,-73.98964735,-0.6137336278385751,2.023484449078368,6
4563,Brooklyn,Flatbush-East,03 THREE FAMILY DWELLINGS                  ,1,4917,56,C0,181 E 32 ST,11226,3,0,3,2000,3000,1910,1,C0,500000,40.64628905,-73.94713613,-1.9933127995759297,-0.8221231669287916,6
3299,Brooklyn,Bushwick,02 TWO FAMILY DWELLINGS                    ,1,3434,47,B2,127 COOPER STREET,11207,2,0,2,1925,2889,1899,1,B2,1275000,40.68726897,-73.90788376,-2.878030641470615,-0.17870631241134616,5
73,Manhattan,East Village,07 RENTALS - WALKUP APARTMENTS             ,2,447,42,C1,333 EAST 5TH STREET,10003,24,0,24,2425,7000,1900,2,C1,6354000,40.72620619,-73.98751895,20.506805943922213,-8.351407279626686,9
3183,Brooklyn,Bush Terminal,02 TWO FAMILY DWELLINGS                    ,1,837,19,B9,234 56TH   STREET,11220,2,0,2,2003,2172,1901,1,B9,880000,40.64516993,-74.01958543,-3.093990350455469,-0.4476778586636976,4
2879,Brooklyn,Borough Park,02 TWO FAMILY DWELLINGS                    ,1,5488,74,B1,1511 56TH STREET,11219,2,0,2,1649,2021,1930,1,B1,1315000,40.62825297,-73.99141582,-3.178323848657265,-0.6332492192336256,6
3023,Brooklyn,Borough Park,07 RENTALS - WALKUP APARTMENTS             ,2A,5523,75,C3,1513 62ND STREET,11219,4,0,4,2000,2800,1931,2,C3,1180000,40.62482885,-73.99488754,-0.9689256163901953,-1.1771020989432992,6
6094,Queens,Arverne,02 TWO FAMILY DWELLINGS                    ,1,16090,46,B2,7518 AQUATIC DRIVE,11692,2,0,2,2161,2905,2004,1,B2,730000,40.589407,-73.80308670000002,-2.9725288030136903,-0.05322824529993608,2
7133,Queens,Richmond Hill,02 TWO FAMILY DWELLINGS                    ,1,9399,53,B2,94-11 113TH   STREET,11419,2,0,2,1937,1948,1901,1,B2,685000,40.69217529,-73.83273236,-3.1960578463498153,-0.6311758435503815,7
7614,Staten Island,Midland Beach,01 ONE FAMILY DWELLINGS                    ,1,3730,29,A5,137 KISWICK STREET,10306,1,0,1,2090,2200,2002,1,A5,515000,40.57596424,-74.09454643,-4.1583745408371255,0.1276144200116481,5
3338,Brooklyn,Bushwick,03 THREE FAMILY DWELLINGS                  ,1,3373,54,C0,17 CORNELIA STREET,11221,3,0,3,2000,3000,1910,1,C0,975000,40.68783564,-73.91785635,-1.9099026794984597,-0.6794620405602454,5
3872,Brooklyn,Crown Heights,03 THREE FAMILY DWELLINGS                  ,1,1241,18,C0,866 PARK PLACE,11216,3,0,3,2286,4000,1906,1,C0,1840000,40.67331651,-73.94897303,-1.4518800920919266,0.1188408902343828,8
6375,Queens,Corona,03 THREE FAMILY DWELLINGS                  ,1,1778,1,C0,108-12 37TH DRIVE,11368,3,0,3,3125,4173,1920,1,C0,1380000,40.75325116,-73.85946265,-1.2450060685079016,0.7434819955965494,3
2274,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1678,63,B1,505 DECATUR STREET,11233,2,0,2,1833,2436,1899,1,B1,850000,40.68265141,-73.92321468,-3.080237246048533,-0.520347114705465,8
7408,Queens,Woodhaven,01 ONE FAMILY DWELLINGS                    ,1,8836,5,A5,86-09 DEXTER COURT,11421,1,0,1,1878,2128,1955,1,A5,580000,40.69235764,-73.8677042,-4.188042264690834,-0.09326400896457862,7
3444,Brooklyn,Bushwick,14 RENTALS - 4-10 UNIT                     ,2A,3235,1,S4,177 WILSON AVENUE,11237,4,1,5,2500,6200,1931,2,S4,2450000,40.69970804,-73.92394758,0.4159376993881316,0.7298457806027365,5
2615,Brooklyn,Bedford Stuyvesant,07 RENTALS - WALKUP APARTMENTS             ,2A,1844,56,C2,113 MACON STREET,11216,6,0,6,1950,3071,1910,2,C2,185203,40.68141743,-73.9468269,0.8883165452660193,-2.4857857706179622,3
6531,Queens,Elmhurst,07 RENTALS - WALKUP APARTMENTS             ,2A,1868,27,C3,52-12 94TH   STREET,11373,4,0,4,2000,3360,1989,2,C3,1150000,40.73950225,-73.86888565,-0.8551620903832878,-0.9657589066788906,8
4095,Brooklyn,Dyker Heights,02 TWO FAMILY DWELLINGS                    ,1,6038,12,B1,912 85TH   STREET,11228,2,0,2,2450,2560,1920,1,B1,1423888,40.61899308,-74.02048628,-2.8026775386841987,0.22136261842200705,11
5968,Brooklyn,Williamsburg-East,14 RENTALS - 4-10 UNIT                     ,2B,3097,26,S5,109 MOORE STREET,11206,6,1,7,1875,7406,2004,2,S5,1000000,40.70391241,-73.94126457,2.2030205949935144,-0.8279649889724026,5
4180,Brooklyn,East New York,02 TWO FAMILY DWELLINGS                    ,1,4080,9,B1,617 ASHFORD STREET,11207,2,0,2,1710,1786,1901,1,B1,665000,40.66690252,-73.88331953,-3.3042528952029926,-0.8749480907296009,1
5907,Brooklyn,Williamsburg-East,01 ONE FAMILY DWELLINGS                    ,1,2740,11,S1,170 FROST STREET,11211,1,1,2,2500,5118,1925,1,S1,2559999,40.71806654,-73.94449099,-2.738433861284293,1.9788760801145755,5
203,Manhattan,Harlem-Central,03 THREE FAMILY DWELLINGS                  ,1,1916,10,C0,153 WEST 131 STREET,10027,3,0,3,1699,3400,1910,1,C0,1925000,40.81237826,-73.94463068,-1.72218611434526,-0.5210381356233482,3
36,Manhattan,Chelsea,23 LOFT BUILDINGS                          ,4,795,19,L8,137 WEST 19TH STREET,10011,1,5,6,1878,11250,1910,4,L8,10500000,40.74110119,-73.99609039,0.7279038048548325,5.999303625950025,3
5865,Brooklyn,Sunset Park,07 RENTALS - WALKUP APARTMENTS             ,2A,866,61,C3,749 60TH STREET,11220,4,0,4,2504,3200,1924,2,C3,1450000,40.63608403,-74.01046636,-0.6821234791965793,-0.5608250609417753,8
5311,Brooklyn,Ocean Hill,07 RENTALS - WALKUP APARTMENTS             ,2,1473,47,C1,1425 EASTERN PARKWAY,11233,16,0,16,5154,16000,1910,2,C1,3300000,40.6691932,-73.92080251,15.097303425625427,-0.119947767147824,3
967,Bronx,Bronxdale,01 ONE FAMILY DWELLINGS                    ,1,4547,40,A5,3053 WILLIAMSBRIDGE ROAD,10467,1,0,1,851,906,1920,1,A5,110000,40.86917153,-73.86545302,-4.79227221465722,-1.4879286384628039,0
5546,Brooklyn,Park Slope,14 RENTALS - 4-10 UNIT                     ,2A,946,5,S3,165 4 AVENUE,11217,3,1,4,1238,2972,1920,2,S3,3577000,40.67885391,-73.98193418,-1.4915673390337643,-0.4562883875243883,3
2477,Brooklyn,Bedford Stuyvesant,03 THREE FAMILY DWELLINGS                  ,1,1767,9,C0,524 WILLOUGHBY AVENUE,11206,3,0,3,1500,3000,1899,1,C0,1070000,40.69390461,-73.94843929,-2.0274380982255344,-1.0759009699546669,8
7435,Queens,Woodhaven,02 TWO FAMILY DWELLINGS                    ,1,8925,15,B2,87-16 88TH STREET,11421,2,0,2,1925,1944,1920,1,B2,660000,40.6921352,-73.85616677,-3.213318702699011,-0.6331276096065023,7
5613,Brooklyn,Park Slope South,14 RENTALS - 4-10 UNIT                     ,2B,1113,52,S9,244 PROSPECT PARK WEST,11215,6,2,8,2446,5880,1907,2,S9,200000,40.65926952,-73.98137561,2.139438165868376,-1.0651110222795728,4
7320,Queens,South Jamaica,02 TWO FAMILY DWELLINGS                    ,1,10052,3,B9,146-08 LIBERTY AVE,11435,2,0,2,1239,1796,1920,1,B9,505000,40.694899299999996,-73.80599151,-3.468359007036256,-1.2960035689540936,2
4209,Brooklyn,East New York,02 TWO FAMILY DWELLINGS                    ,1,4266,35,B1,532 PINE STREET,11208,2,0,2,2000,2120,1910,1,B1,424000,40.67239779,-73.87023768,-3.186647656087499,-0.5967102744124971,11
1336,Bronx,Morris Park/Van Nest,03 THREE FAMILY DWELLINGS                  ,1,4036,23,C0,791 VAN NEST,10462,3,0,3,2375,3696,1920,1,C0,610000,40.84448316,-73.86227811,-1.677091852939805,-0.2550809153324561,1
1224,Bronx,Kingsbridge/Jerome Park,01 ONE FAMILY DWELLINGS                    ,1,5768,829,A1,3612 IRWIN AVENUE,10463,1,0,1,2492,3574,1935,1,A1,537750,40.88557375,-73.90429682,-3.6321153903760943,0.8308249919766829,11
3506,Brooklyn,Canarsie,02 TWO FAMILY DWELLINGS                    ,1,8166,37,B1,9708 FARRAGUT ROAD,11236,2,0,2,2500,3240,1930,1,B1,735000,40.64689246,-73.9035371,-2.743959694737022,0.27056661633801593,7
337,Manhattan,Harlem-East,07 RENTALS - WALKUP APARTMENTS             ,2,1667,18,C7,235 EAST 117TH STREET,10035,33,2,35,5046,21620,1910,2,C7,8925000,40.79798021,-73.93793884,34.343710005781425,-5.441559296305575,4
4626,Brooklyn,Flatbush-Lefferts Garden,02 TWO FAMILY DWELLINGS                    ,1,1328,28,B1,176 LEFFERTS AVENUE,11225,2,0,2,2050,2144,1905,1,B1,2000000,40.66202151,-73.95540221,-2.907529393173637,-0.07839979100732425,3
734,Manhattan,Upper West Side (96-116),07 RENTALS - WALKUP APARTMENTS             ,2,1889,60,C1,851 WEST END AVENUE,10025,18,0,18,2550,10584,1921,2,C1,2650000,40.79886595,-73.97061881,14.94536471380895,-5.149635618079127,8
2241,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1653,62,B3,867A JEFFERSON AVENUE,11221,2,0,2,1850,3252,1899,1,B3,1300000,40.68636213,-73.92384628,-2.808741226476988,-0.1229724299681912,8
1545,Bronx,Mount Hope/Mount Eden,03 THREE FAMILY DWELLINGS                  ,1,2799,17,C0,1762 TOPPING,10457,3,0,3,1900,3474,1899,1,C0,390101,40.84581379,-73.90563688,-1.8863062033557352,-0.8012171447927642,5
649,Manhattan,Upper East Side (79-96),07 RENTALS - WALKUP APARTMENTS             ,2,1540,30,C4,234 EAST 95TH   STREET,10128,20,0,20,2517,8150,1910,2,C4,5400000,40.78375084,-73.94810472,16.756342335663238,-6.135902214048384,4
6565,Queens,Far Rockaway,03 THREE FAMILY DWELLINGS                  ,1,15818,69,C0,141 BEACH 26 STREET,11691,3,0,3,2246,3519,2003,1,C0,368111,40.59337164,-73.75906573,-1.887913727758688,-0.4223143061777643,10
7505,Staten Island,Bulls Head,01 ONE FAMILY DWELLINGS                    ,1,1680,127,A5,43 LUDWIG LANE,10303,1,0,1,2670,2807,1999,1,A5,430000,40.62246233,-74.15935823,-3.8522296962532745,0.7682953608853137,9
3543,Brooklyn,Canarsie,03 THREE FAMILY DWELLINGS                  ,1,8088,32,C0,27 PAERDEGAT 15 STREET,11236,3,0,3,2133,2945,1960,1,C0,350000,40.6274176,-73.90114794,-2.0243073290709095,-0.7309478242938829,2
1628,Bronx,Schuylerville/Pelham Bay,02 TWO FAMILY DWELLINGS                    ,1,5339,122,B1,1260 HOBART AVENUE,10461,2,0,2,1828,1969,2003,1,B1,780000,40.83763517,-73.82734315,-3.23253574336144,-0.5967813502289321,6
5025,Brooklyn,Greenpoint,22 STORE BUILDINGS                         ,4,2680,54,K4,626 MANHATTAN AVENUE,11222,2,5,7,1875,4050,1931,4,K4,6000000,40.72369009,-73.95069105,-0.7471005721336397,1.9577758880914315,1
4877,Brooklyn,Gravesend,02 TWO FAMILY DWELLINGS                    ,1,6672,21,B1,1838 WEST 8TH   STREET,11223,2,0,2,2000,2224,1905,1,B1,700000,40.60230699,-73.98059503,-3.1232293159409004,-0.4860838448559514,2
5400,Brooklyn,Ocean Parkway-South,02 TWO FAMILY DWELLINGS                    ,1,7180,37,B1,2377 EAST 4TH STREET,11223,2,0,2,2000,2340,1945,1,B1,995000,40.59208434,-73.96668708,-3.0711230195342654,-0.3281260677834237,2
3097,Brooklyn,Brighton Beach,21 OFFICE BUILDINGS                        ,4,8669,28,O2,3072 BRIGHTON 1ST STREET,11235,0,1,1,2000,4300,1930,4,O2,1100000,40.57676735,-73.9671255,-4.311648535094531,1.3953514649356262,2
2460,Brooklyn,Bedford Stuyvesant,03 THREE FAMILY DWELLINGS                  ,1,1667,70,C0,581 MACON STREET,11233,3,0,3,1750,3130,1910,1,C0,2219000,40.68359738,-73.92804326,-1.7485198875351282,-0.4747192204470128,8
6197,Queens,Astoria,07 RENTALS - WALKUP APARTMENTS             ,2A,631,42,C2,25-32 34TH   STREET,11103,5,0,5,2910,3040,1923,2,C2,600000,40.76883817,-73.91652773,0.2525073675685035,-1.0434825193061097,4
5080,Brooklyn,Madison,03 THREE FAMILY DWELLINGS                  ,1,7333,56,C0,2077 EAST 28TH   STREET,11229,3,0,3,2800,3312,1930,1,C0,1000000,40.60065192,-73.943845,-1.6318521821373737,0.104817352075346,2
3545,Brooklyn,Canarsie,03 THREE FAMILY DWELLINGS                  ,1,8147,68,C0,9723 FARRAGUT ROAD,11236,3,0,3,2280,2320,1925,1,C0,591600,40.64705851,-73.90339941,-2.0698456304457418,-0.7562101129001775,7
7460,Queens,Woodhaven,14 RENTALS - 4-10 UNIT                     ,2A,9181,39,S4,10115 JAMAICA AVENUE,11418,4,1,5,3426,7400,1931,2,S4,1000000,40.69514444,-73.84583659,0.7221650182801985,1.429141996767078,2
3436,Brooklyn,Bushwick,07 RENTALS - WALKUP APARTMENTS             ,2A,3441,32,C2,636 WILSON AVENUE,11207,6,0,6,2500,4875,1906,2,C2,100,40.68908984,-73.9054057,1.4421423064843375,-1.5389528875271554,1
1462,Bronx,Morrisania/Longwood,14 RENTALS - 4-10 UNIT                     ,2A,2690,20,S9,906-908 PROSPECT AVENUE,10459,2,2,4,3000,4200,1910,2,S9,400000,40.82124688,-73.90093206,-1.9424073638825472,1.014958214761798,1
7051,Queens,Ozone Park,02 TWO FAMILY DWELLINGS                    ,1,11353,6,B1,90-12 SUTTER AVE,11417,2,0,2,2229,2337,1975,1,B1,120000,40.67641067,-73.84644029,-3.1537826075472166,-0.3755082587820934,11
3844,Brooklyn,Crown Heights,02 TWO FAMILY DWELLINGS                    ,1,1380,71,S2,1525 ST JOHNS PLACE,11213,2,1,3,2405,3340,1920,1,S2,700000,40.67041445,-73.92721094,-2.5196538907046517,0.2793128784708025,3
2992,Brooklyn,Borough Park,03 THREE FAMILY DWELLINGS                  ,1,5650,21,C0,1436 50TH STREET,11219,3,0,3,2805,5008,1965,1,C0,2600000,40.63252713,-73.98957684,-0.9803083441461412,1.1360821058090886,6
2018,Brooklyn,Bath Beach,22 STORE BUILDINGS                         ,4,6431,42,K4,1632 BATH AVENUE,11214,1,1,2,2083,2853,1910,4,K4,990000,40.60590382,-74.00959765,-3.6566066097764534,0.4584490621457276,6
5435,Brooklyn,Old Mill Basin,02 TWO FAMILY DWELLINGS                    ,1,7892,48,S2,4720 AVENUE N,11234,2,1,3,1950,3000,1931,1,S2,905000,40.61879451,-73.92904194,-2.710326838242321,-0.1323871170610353,7
446,Manhattan,Inwood,08 RENTALS - ELEVATOR APARTMENTS           ,2,2242,26,D1,100 COOPER STREET,10034,48,0,48,7500,30896,1930,2,D1,12900000,40.86872161,-73.92116235,52.048527507428496,-7.268729147401963,3
3275,Brooklyn,Bushwick,02 TWO FAMILY DWELLINGS                    ,1,3396,56,B2,137 WEIRFIELD STREET,11221,2,0,2,1767,2385,1910,1,B2,853053,40.6895886,-73.91264243,-3.1152516738527245,-0.580397434160026,5
3882,Brooklyn,Crown Heights,03 THREE FAMILY DWELLINGS                  ,1,1365,80,C0,1273 PARK PLACE,11213,3,0,3,2395,2712,1899,1,C0,780000,40.67263449,-73.9352693,-1.8946990981164096,-0.5064194531039347,3
2336,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1797,101,B3,215A LEXINGTON AVENUE,11216,2,0,2,1667,2100,1899,1,B3,495000,40.68741033,-73.95370834,-3.2619384028205167,-0.8666104835694294,4
1824,Bronx,Wakefield,02 TWO FAMILY DWELLINGS                    ,1,5076,5,B1,639 EAST 239 STREET,10470,2,0,2,1800,1912,1960,1,B1,455000,40.90099386,-73.85513901,-3.271517704883234,-0.770684216092864,11
2211,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1628,11,B3,794 LEXINGTON AVENUE,11221,2,0,2,1800,2268,1899,1,B3,1400000,40.6904016,-73.92708016,-3.038640476824878,-0.4337761368290827,8
6712,Queens,Glendale,02 TWO FAMILY DWELLINGS                    ,1,3679,23,B1,71-32 67TH   STREET,11385,2,0,2,1900,2280,1910,1,B1,959000,40.70222302,-73.88683343,-3.0841579795481358,-0.4700963693844269,1
71,Manhattan,East Village,07 RENTALS - WALKUP APARTMENTS             ,2,434,43,C1,429 EAST 6TH STREET,10009,20,0,20,4163,9187,1920,2,C1,5292000,40.72589119,-73.98489987,17.433951356130287,-4.475230937481278,9
2430,Brooklyn,Bedford Stuyvesant,03 THREE FAMILY DWELLINGS                  ,1,1621,6,C0,147 STUYVESANT AVENUE,11221,3,0,3,1500,3600,1899,1,C0,1700000,40.69009473,-73.93344631,-1.7847200352368469,-0.7047208739296594,3
1079,Bronx,East Tremont,02 TWO FAMILY DWELLINGS                    ,1,4007,25,B2,420 BRONX PARK AVENUE,10460,2,0,2,2358,3584,1910,1,B2,239026,40.84036677,-73.8752832,-2.7380149575257917,0.09352486680794207,0
7563,Staten Island,Great Kills,01 ONE FAMILY DWELLINGS                    ,1,4640,130,A5,33 STERN COURT,10308,1,0,1,960,1327,1989,1,A5,395000,40.5533673,-74.14463795,-4.698411471199736,-1.1248325027854729,0
4346,Brooklyn,East New York,07 RENTALS - WALKUP APARTMENTS             ,2A,4453,23,C3,452 BERRIMAN STREET,11208,4,0,4,2120,4090,1931,2,C3,705000,40.6673239,-73.87777659,-0.7036159904207646,-0.8283919430213988,11
6398,Queens,Corona,07 RENTALS - WALKUP APARTMENTS             ,2A,1754,15,C3,34-10 111TH   STREET,11368,4,0,4,2400,4500,2004,2,C3,1420000,40.75630443,-73.8577609,-0.4339762037939893,-0.1922103092337319,9
6999,Queens,Middle Village,03 THREE FAMILY DWELLINGS                  ,1,2835,110,C0,59-25 72ND   STREET,11378,3,0,3,2570,2698,1955,1,C0,800000,40.72416995,-73.88841906,-1.8667653336860504,-0.3106266399023601,1
5051,Brooklyn,Madison,01 ONE FAMILY DWELLINGS                    ,1,7320,68,A1,2035 EAST 15TH STREET,11229,1,0,1,1500,1540,1960,1,A1,775000,40.60018342,-73.95661778,-4.418185072541565,-0.5238815285998507,2
5682,Brooklyn,Sheepshead Bay,02 TWO FAMILY DWELLINGS                    ,1,7360,78,B1,2119 EAST 27TH   STREET,11229,2,0,2,2450,2640,1925,1,B1,999999,40.59957256,-73.94460788,-2.8616231224921465,0.1215081916314448,2
896,Bronx,Bedford Park/Norwood,02 TWO FAMILY DWELLINGS                    ,1,3318,51,B2,2789 MORRIS AVENUE,10468,2,0,2,2840,3101,1901,1,B2,699000,40.86976138,-73.8940643,-2.631110479956854,0.4784803659910392,0
7472,Queens,Woodside,02 TWO FAMILY DWELLINGS                    ,1,1343,42,B1,65-32 WOODSIDE AVENUE,11377,2,0,2,1860,2860,1950,1,B1,400000,40.74341302,-73.89889736,-3.0612918849247475,-0.4592698391842765,8
6578,Queens,Flushing-North,01 ONE FAMILY DWELLINGS                    ,1,5352,3,A5,40-49 172ND   STREET,11358,1,0,1,1060,1996,1945,1,A5,745000,40.75929196,-73.79411446,-4.408622780814878,-0.7731282594037164,11
4850,Brooklyn,Gowanus,07 RENTALS - WALKUP APARTMENTS             ,2A,433,57,C3,555 UNION STREET,11215,4,0,4,2265,3300,1920,2,C3,3700000,40.67895335,-73.98693118,-0.3524188211083271,-0.057574892339502824,8
1127,Bronx,Fordham,07 RENTALS - WALKUP APARTMENTS             ,2,3189,20,C1,2489 MORRIS AVENUE,10468,43,0,43,10710,40000,1923,2,C1,7700000,40.86315468,-73.89935537,49.395219364327275,-0.8121492534024807,0
809,Bronx,Baychester,01 ONE FAMILY DWELLINGS                    ,1,4734,35,A5,3313 WILSON AVENUE,10469,1,0,1,2258,2430,1930,1,A5,80000,40.87376803,-73.8498006,-4.044750475428355,0.1456212192292585,0
1455,Bronx,Morrisania/Longwood,07 RENTALS - WALKUP APARTMENTS             ,2A,2756,78,C3,1060 LONGFELLOW AVENUE,10459,4,0,4,2500,3200,1930,2,C3,545000,40.82495693,-73.88771444,-0.8030281961496175,-0.8293353530527862,5
4064,Brooklyn,Downtown-Fulton Mall,22 STORE BUILDINGS                         ,4,149,31,K4,555 FULTON STREET,11201,0,1,1,1637,4911,1920,4,K4,10000000,40.68956435,-73.98257174,-2.8014156264704337,3.941742783139007,8
2579,Brooklyn,Bedford Stuyvesant,07 RENTALS - WALKUP APARTMENTS             ,2A,1680,11,C3,234 DECATUR STREET,11233,4,0,4,2000,3480,1910,2,C3,2300000,40.68135165,-73.93392882,-0.6077885642795394,-0.6525255077823029,4
3881,Brooklyn,Crown Heights,03 THREE FAMILY DWELLINGS                  ,1,1357,32,C0,1772 BERGEN STREET,11233,3,0,3,2555,3240,1901,1,C0,700000,40.67463254,-73.92336353,-1.7387367138638676,-0.23511605604042785,3
5817,Brooklyn,Sunset Park,02 TWO FAMILY DWELLINGS                    ,1,5792,67,B9,521 62ND STREET,11220,2,0,2,2000,2710,1910,1,B9,162500,40.63796796,-74.01669585,-3.089810042879856,-0.4940941359151537,11
4440,Brooklyn,Flatbush-Central,07 RENTALS - WALKUP APARTMENTS             ,2,5166,32,C1,236 EAST 23RD   STREET,11226,23,0,23,6000,18000,1932,2,C1,5060000,40.64376287,-73.95562829,22.900857982026178,-1.87695437711758,0
957,Bronx,Belmont,07 RENTALS - WALKUP APARTMENTS             ,2,3090,54,C1,690 EAST 189TH STREET,10458,34,0,34,7284,32560,1913,2,C1,5173000,40.85610315,-73.88349497,37.49227260789935,-2.042891390987057,1
6822,Queens,Jackson Heights,03 THREE FAMILY DWELLINGS                  ,1,1164,86,C0,32-19 68TH   STREET,11377,3,0,3,2242,2650,1960,1,C0,55000,40.75569038,-73.89879815,-2.0875994316703643,-0.8165963373834567,9
7557,Staten Island,Great Kills,01 ONE FAMILY DWELLINGS                    ,1,4478,609,A5,30 SABLE LOOP,10306,1,0,1,500,1240,1996,1,A5,335000,40.56389193,-74.14437405,-4.860088522485534,-1.5457726054867138,0
5477,Brooklyn,Park Slope,02 TWO FAMILY DWELLINGS                    ,1,955,62,B1,625 PRESIDENT STREET,11215,2,0,2,1583,1884,1901,1,B1,2475000,40.6762154,-73.98203296,-3.018030303278591,-0.4063911761490574,8
6648,Queens,Flushing-South,01 ONE FAMILY DWELLINGS                    ,1,6744,86,A5,154-24 HORACE HARDING EXPRE,11367,1,0,1,950,1336,1950,1,A5,694500,40.73850158,-73.81393503,-4.609628634180783,-1.0762466210799897,6
56,Manhattan,Civic Center,23 LOFT BUILDINGS                          ,4,178,6,L9,106 FRANKLIN STREET,10013,0,6,6,2536,11000,1915,4,L9,11500000,40.71851297,-74.00579147,0.2579820387674961,7.367094726263549,3
544,Manhattan,Murray Hill,14 RENTALS - 4-10 UNIT                     ,2B,859,88,S9,275 5 AVENUE,10016,6,2,8,2300,9280,1925,2,S9,12000000,40.74561272,-73.98657506,4.8207878238358655,3.40354731087098,4
2264,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1672,75,B3,449A MACDONOUGH STREET,11233,2,0,2,1758,2940,1899,1,B3,1280000,40.68288837,-73.9280387,-2.9122267259288264,-0.30040079591049823,9
7355,Queens,Springfield Gardens,21 OFFICE BUILDINGS                        ,4,13376,40,O2,147-39 175TH   STREET,11434,0,1,1,18400,36100,1970,4,O2,4050000,40.66000789,-73.77080463,8.302169698353262,25.629209703060468,2
94,Manhattan,Flatiron,23 LOFT BUILDINGS                          ,4,829,72,L9,52 WEST 28TH STREET,10001,0,4,4,987,3780,1915,4,L9,4650000,40.74582679,-73.99007508,-3.437620335322073,1.6764672548521615,9
585,Manhattan,Upper East Side (59-79),01 ONE FAMILY DWELLINGS                    ,1,1426,18,A4,249 EAST 71ST   STREET,10021,1,0,1,1890,2700,1899,1,A4,6350000,40.76844327,-73.95952029,-3.0681422663619315,1.7753061103799956,4
602,Manhattan,Upper East Side (59-79),07 RENTALS - WALKUP APARTMENTS             ,2,1429,1,C7,1291 3 AVENUE,10021,15,2,17,1574,6074,1915,2,C7,15000000,40.77113024,-73.95953694,13.122328386694472,-1.933803254473414,3
