,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
6872,Queens,Jamaica,22 STORE BUILDINGS                         ,4,9839,5,K2,167-11 HILLSIDE AVENUE,11432,0,2,2,2369,2394,1931,4,K2,875000,40.70989678,-73.79516883,-4.455402888333904,1.1312878297754132,2
2086,Brooklyn,Bay Ridge,02 TWO FAMILY DWELLINGS                    ,1,6008,75,B1,421 83RD   STREET,11209,2,0,2,2333,2560,1920,1,B1,1300000,40.62467496,-74.02679835,-2.854423159844377,0.08704737069447803,11
5717,Brooklyn,Sheepshead Bay,02 TWO FAMILY DWELLINGS                    ,1,8799,19,B9,2736 FORD STREET,11235,2,0,2,1900,2280,1955,1,B9,840000,40.58690064,-73.93552572,-3.1459996383447204,-0.4679409984006927,2
1550,Bronx,Mount Hope/Mount Eden,03 THREE FAMILY DWELLINGS                  ,1,2829,21,C0,1979 MORRIS AVENUE,10453,3,0,3,2000,3432,1899,1,C0,140000,40.85127602,-73.90733644,-1.907481919753407,-0.8057045746070105,5
4658,Brooklyn,Flatbush-Lefferts Garden,07 RENTALS - WALKUP APARTMENTS             ,2,5036,39,C7,1130 NOSTRAND AVENUE,11225,40,6,46,12000,35120,1926,2,C7,10460000,40.65999895,-73.95058932,47.426343115261936,1.6093301399786273,6
6199,Queens,Astoria,07 RENTALS - WALKUP APARTMENTS             ,2A,648,33,C2,3121 35TH STREET,11106,6,0,6,2500,3720,1923,2,C2,2500000,40.76222784,-73.92071828,1.578985719772083,-1.1245166253153822,4
7620,Staten Island,New Brighton,02 TWO FAMILY DWELLINGS                    ,1,43,22,B2,226 BENZIGER AVENUE,10301,2,0,2,2500,2529,1920,1,B2,110000,40.63929465,-74.08620701,-3.0023070473922617,-0.13928511224205836,4
2792,Brooklyn,Boerum Hill,01 ONE FAMILY DWELLINGS                    ,1,279,33,A5,226 PACIFIC STREET,11201,1,0,1,2007,3760,1915,1,A5,5000000,40.68874870000001,-73.99163255,-3.0246083616437973,1.8032665625193671,4
6930,Queens,Maspeth,02 TWO FAMILY DWELLINGS                    ,1,2334,31,B1,48-34 63RD STREET,11377,2,0,2,2000,2100,1940,1,B1,720000,40.73755609,-73.90278923,-3.145615362884565,-0.4866685911469147,8
6975,Queens,Middle Village,01 ONE FAMILY DWELLINGS                    ,1,2922,29,A5,69-40 ELIOT AVENUE,11379,1,0,1,1539,2079,1960,1,A5,675000,40.72000907,-73.8899105,-4.276411314022795,-0.3566470930889052,1
159,Manhattan,Greenwich Village-West,08 RENTALS - ELEVATOR APARTMENTS           ,2,612,51,D7,12 PERRY ST,10014,21,6,27,3862,17826,1940,2,D7,24991000,40.73578875,-74.0013869,24.88628431186464,3.7660818856661344,3
5354,Brooklyn,Ocean Parkway-North,02 TWO FAMILY DWELLINGS                    ,1,6572,72,B2,1343 EAST 9TH   STREET,11230,2,0,2,2250,2304,1925,1,B2,1400000,40.6163034,-73.9654968,-2.9288149113087565,-0.02656158744490366,6
667,Manhattan,Upper East Side (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,2,1577,44,D1,512 EAST 81ST   STREET,10028,15,0,15,2554,9630,1920,2,D1,7314907,40.77234079,-73.94867155,12.547508866004335,-2.489207679967945,8
3799,Brooklyn,Crown Heights,02 TWO FAMILY DWELLINGS                    ,1,1288,30,B1,1090 CARROLL STREET,11225,2,0,2,2630,4032,1910,1,B1,1600000,40.66735656,-73.95460245,-2.36361336031252,0.8628099490281284,3
